dimemployee_fullname,dimemployee_firstname,finishedgoodsflag,dimreseller_ordermonth,factsales_freight,factsales_currencykey,dimdate_monthnumberofyear,productalternatekey,dimreseller_lastorderyear,dimgeography_city,dimsalesterritory_salesterritorykey,dimdate_monthname,dimreseller_yearopened,factsales_orderquantity,productsubcategoryname,dimemployee_gender,productsubcategoryalternatekey,dimdate_fiscalyear,dimemployee_salariedflag,factsales_extendedamount,factsales_ordertime,factsales_productstandardcost,dimreseller_businesstype,factsales_salesorderlinenumber,startdate,dimreseller_resellername_it,dimdate_daynumberofweek,dimgeography_latlong,factsales_productkey,enddate,productsubcategorykey,factsales_unitprice,dimdate_daynumberofyear,dimdate_calendaryear,dimemployee_title,sizeunitmeasurecode,dimreseller_resellerkey,surveyresponse,dimgeography_stateprovincename,dimreseller_addresslineone,dimgeography_countryregionname,dimemployee_maritalstatus,productline,dimemployee_status,dimdate_fulldatealternatekey,dimdate_fiscalsemester,dimreseller_bankname_it,dimgeography_stateprovincecode,productname_es,dimreseller_resellername,dimemployee_birthdate,dimdate_daynumberofmonth,dimemployee_phone,dimgeography_countryregioncode,dimgeography_latlong_geo_subregion,listprice,reorderpoint,dimgeography_latlong_geo_country,dimemployee_employeekey,dimemployee_lastname,productcategoryname,dimdate_fiscalquarter,dimemployee_employeenationalidalternatekey,dimgeography_latlong_geo_postcode,dimreseller_annualsales,dimreseller_minpaymentamount,factsales_salesamount,factsales_salesterritorykey,factsales_taxamt,dimdate_calendarquarter,safetystocklevel,daystomanufacture,dimgeography_latlong_geo_subregionid,factsales_totalproductcost,dimreseller_geographykey,description,dimemployee_emailaddress,dimemployee_salespersonflag,dimemployee_salesterritorykey,factsales_discountamount,dimreseller_productline,dimsalesterritory_salesterritorycountry,dimreseller_addresslinetwo,dimdate_weeknumberofyear,dimreseller_phone,factsales_shipdatekey,factsales_recordspec,factsales_employeekey,dimgeography_latlong_geo_city,d,status,class,dealerprice,factsales_salesordernumber,productname_zh_tw,size,dimsalesterritory_salesterritoryregion,dimreseller_bankname_de,dimreseller_bankname_zh_cn,factsales_carriertrackingnumber,standardcost,dimdate_daynameofweek,dimreseller_minpaymenttype,productcategorykey,productcategoryalternatekey,dimreseller_annualrevenue,factsales_revisionnumber,factsales_orderdatekey,modelname,weight,dimgeography_salesterritorykey,dimsalesterritory_salesterritorygroup,factsales_resellerkey,factsales_shiptime,dimemployee_baserate,factsales_unitpricediscountpct,factsales_duedatekey,factsales_orderduration_duration,style,dimreseller_orderfrequency,dimreseller_firstorderyear,dimemployee_startdate,dimemployee_currentflag,dimgeography_latlong_geo_region,dimgeography_latlong_geo_regionid,productname_it,dimdate_calendarsemester,dimemployee_departmentname,productname,factsales_promotionkey,dimreseller_numberemployees,weightunitmeasurecode,dimgeography_postalcode,factsales_customerponumer,sizerange,dimemployee_hiredate,dimreseller_bankname,dimgeography_geographykey,dimemployee_middlename,color,dimreseller_reselleralternatekey,productcategory,dimdate_datekey
Michael G Blythe,Michael,TRUE,5,0.8444,100,2,HB-M763,2008,Saint Louis,3,February,1989,1,Handlebars,M,4,2007,1,33.7745,11:11:23.000Z,24.9932,Warehouse,5,7/1/2006 0:00,Linee biciclette Distributori,5,38.631451 -90.21415,399,6/30/2007 0:00,4,33.7745,32,2007,Sales Representative,,381,,Missouri,6996 South Lindbergh,United States,S,M ,Current,00:00.,2,Primaria Internazionale [it],MO,,Bicycle Lines Distributors,00:00.,1,257-555-0154,US,Saint Louis,56.2909,375,US,281,Blythe,Components,Q3,841560125,63101,3000000,,33.7745,3,2.702,1,500,1,4407084,24.9932,487,Tough aluminum alloy bars for downhill.,michael9@advent,1,2,0,Mountain,United States,,5,145-555-0194,04:12.,SO49093-5,281,St. Louis,dimreseller_businesstype_ja,,M ,33.7745,SO49093,productname_zh_tw,,Central,Prim?r International [de],dimreseller_bankname_zh_cn,A0B1-4C01-8A,24.9932,Thursday,2,2,2,300000,1,11:23.,ML Mountain Handlebars,,3,North America,381,16:04:12.000Z,23.0769,0,00:00.,622369000,,Q,2006,00:00.,1,Missouri,4398678,,1,Sales,ML Mountain Handlebars,1,83,,63103,PO15370113221,NA,00:00.,Primary International,487,G,NA,AW00000381,4,00:00.
Lynn N Tsoflias,Lynn,,4,107.2832,6,1,BK-T79Y-50,2008,Lavender Bay,9,January,1994,3,Touring Bikes,F,3,2008,1,4291.326,21:50:38.000Z,1481.9379,Value Added Reseller,9,,Caschi e Cicli,3,,562,,3,1430.442,1,2008,Sales Representative,CM ,231,,New South Wales,Rosebery,Australia,S,,Current,00:00.,2,Riserva di Sicurezza [it],NSW,Turismo-1000 Amarillo [es],Helmets and Cycles,00:00.,1,1 (11) 500 555-,AU,,,,,296,Tsoflias,Bikes,Q3,758596752,,800000,,4291.326,9,343.3061,1,,,,4445.8137,6,,lynn0@adventure,1,9,0,Touring,Australia,,1,1 (11) 500 555-0122,25:05.,SO61235-9,296,,dimreseller_businesstype_ja,,,,SO61235,productname_zh_tw,,Australia,Reserve Sicherheit [de],dimreseller_bankname_zh_cn,CFAF-4A60-86,,Tuesday,1,1,1,80000,1,50:38.,,,9,Pacific,231,21:25:05.000Z,23.0769,0,00:00.,603267000,,S,2007,00:00.,1,,,Turismo-3000 Blu [it],1,Sales,Touring-1000 Yellow,1,14,LB ,2060,PO8004115760,,00:00.,Reserve Security,6,N,,AW00000231,3,00:00.
Ranjit R Varkey Chudukatil,Ranjit,,5,406.5316,100,11,BK-T79U-46,2008,Colomiers,7,November,1974,12,Touring Bikes,M,3,2008,1,16593.1272,04:24:19.000Z,1481.9379,Warehouse,27,,Giocattoli perfetti,5,31.33349 -84.36269,573,,3,1382.7606,305,2007,Sales Representative,CM ,193,,Garonne (Haute),"68081, place du Tertre",France,S,,Current,00:00.,1,Uniti Sicurezza [it],31,,Perfect Toys,00:00.,1,1 (11) 500 555-,FR,Mitchell County,,,US,292,Varkey Chudukatil,Bikes,Q2,134219713,31730,3000000,,16261.2647,7,1300.9012,4,,,4209744,17783.2548,180,,ranjit0@adventu,1,7,331.8625,Touring,France,,44,1 (11) 500 555-0165,57:46.,SO57143-27,292,Camilla,dimreseller_businesstype_ja,,,,SO57143,productname_zh_tw,,France,Vereint Sicherheit [de],dimreseller_bankname_zh_cn,69ED-4172-83,,Thursday,1,1,1,300000,1,24:19.,,,7,Europe,193,01:57:46.000Z,23.0769,0.02,00:00.,599607000,,Q,2007,00:00.,1,Georgia,4197000,,2,Sales,Touring-1000 Blue,2,93,LB ,31770,PO3567189986,,00:00.,United Security,180,R,,AW00000193,3,00:00.
Jillian  Carson,Jillian,,4,20.9729,100,1,BK-R50R-62,2008,Odessa,3,January,2000,2,Road Bikes,F,2,2006,1,838.9178,23:24:10.000Z,413.1463,Value Added Reseller,1,,Bike Store Primo,1,38.98915 -93.95373,324,,2,419.4589,1,2006,Sales Representative,CM ,670,,Missouri,Kansas City Factory Outlet,United States,S,,Current,00:00.,2,Primaria Banca e Riserva [it],MO,Carretera-650 Rojo [es],First Bike Store,00:00.,1,517-555-0117,US,Lafayette County,,,US,283,Carson,Bikes,Q3,615389812,64076,800000,,838.9178,3,67.1134,1,,,4394055,826.2926,485,,jillian0@advent,1,3,0,Road,United States,,1,859-555-0140,04:31.,SO45055-1,283,Odessa,dimreseller_businesstype_ja,,,,SO45055,productname_zh_tw,,Central,Hausbank und Zur??ckhaltung [de],dimreseller_bankname_zh_cn,0C6F-4406-A0,,Sunday,2,1,1,80000,1,24:10.,,,3,North America,670,22:04:31.000Z,23.0769,0,00:00.,600021000,,S,2005,00:00.,1,Missouri,4398678,Strada-650 Rosso [it],1,Sales,Road-650 Red,1,17,LB ,64076,PO12412126535,,00:00.,Primary Bank & Reserve,485,,,AW00000670,2,00:00.
Shu K Ito,Shu,,4,20.9729,100,1,BK-R50R-44,2008,Las Cruces,4,January,1974,2,Road Bikes,M,2,2006,1,838.9178,10:23:30.000Z,413.1463,Warehouse,2,,Bike Dealers Association,1,32.300193 -106.76078,326,,2,419.4589,1,2006,Sales Representative,CM ,221,,New Mexico,9952 E. Lohman Ave.,United States,M,,Current,00:00.,2,Uniti Sicurezza [it],NM,Carretera-650 Rojo [es],Bike Dealers Association,00:00.,1,330-555-0120,US,Do?a Ana County,,,US,287,Ito,Bikes,Q3,139397894,88006,1500000,,838.9178,4,67.1134,1,,,5465283,826.2926,505,,shu0@adventure-,1,4,0,Road,United States,,1,993-555-0179,35:01.,SO45074-2,287,Las Cruces,dimreseller_businesstype_ja,,,,SO45074,productname_zh_tw,,Southwest,Vereint Sicherheit [de],dimreseller_bankname_zh_cn,7225-40DF-B0,,Sunday,,1,1,150000,1,23:30.,,,4,North America,221,18:35:01.000Z,23.0769,0,00:00.,634291000,,Q,2005,00:00.,1,New Mexico,5481136,Strada-650 Rosso [it],1,Sales,Road-650 Red,1,40,LB ,88001,PO7859191751,,00:00.,United Security,505,K,,AW00000221,2,00:00.
Michael G Blythe,Michael,,5,32.3997,100,11,BK-M47B-44,2008,New Hartford,2,November,1998,2,Mountain Bikes,M,1,2007,1,1295.988,22:07:06.000Z,598.4354,Warehouse,25,,Grandi magazzini alla moda,4,43.067169 -75.28767,366,,1,647.994,305,2006,Sales Representative,CM ,233,,New York,7505 Commercial Dr.,United States,S,,Current,00:00.,1,Sicurezza Internazionale [it],NY,,Fashionable Department Stores,00:00.,1,257-555-0154,US,Oneida County,,,US,281,Blythe,Bikes,Q2,841560125,13503,3000000,,1295.988,2,103.679,4,,,5129832,1196.8708,521,,michael9@advent,1,2,0,Mountain,United States,,44,618-555-0193,52:10.,SO48017-25,281,Utica,dimreseller_businesstype_ja,,,,SO48017,productname_zh_tw,,Northeast,International Sicherheit [de],dimreseller_bankname_zh_cn,40DA-4972-BB,,Wednesday,1,1,1,300000,1,07:06.,,,2,North America,233,13:52:10.000Z,23.0769,0,00:00.,575104000,,Q,2006,00:00.,1,New York,5128638,,2,Sales,Mountain-300 Black,1,52,LB ,13413,PO11658177389,,00:00.,International Security,521,G,,AW00000233,1,00:00.
Michael G Blythe,Michael,,5,1.0093,100,5,HL-U509-B,2008,Indianapolis,2,May,1999,2,Helmets,M,31,2006,1,40.373,21:24:54.000Z,12.0278,Warehouse,3,,Super negozio di articoli sportivi,2,39.771743 -86.15598,220,,31,20.1865,121,2006,Sales Representative,,432,,Indiana,Washington Square Ii,United States,S,,Current,00:00.,2,Primaria Banca e Riserva [it],IN,AWC Logo Tapa [es],Super Sports Store,00:00.,1,257-555-0154,US,Marion County,,,US,281,Blythe,Accessories,Q4,841560125,46207,3000000,,40.373,2,3.2298,2,,,4260977,24.0556,443,,michael9@advent,1,2,0,Road,United States,,18,186-555-0135,23:34.,SO46097-3,281,Indianapolis,dimreseller_businesstype_ja,,,,SO46097,productname_zh_tw,,Northeast,Hausbank und Zur??ckhaltung [de],dimreseller_bankname_zh_cn,9835-4D6A-8F,,Monday,2,4,4,300000,1,24:54.,,,2,North America,432,12:23:34.000Z,23.0769,0,00:00.,572320000,,Q,2005,00:00.,1,Indiana,4921868,AWC Logo Berretto [it],1,Sales,Sport-100 Helmet,1,100,,46204,PO6670136353,,00:00.,Primary Bank & Reserve,443,G,,AW00000432,31,00:00.
Jae B Pak,Jae,,6,24.334,19,12,FR-R72Y-48,2008,Toronto,6,December,1993,3,Road Frames,F,14,2007,1,973.3581,14:57:50.000Z,300.1188,Value Added Reseller,7,,Calcio d'angolo biciclette alimentazione,6,,435,,14,324.4527,335,2006,Sales Representative,CM ,155,,Ontario,2511 Baker Road,Canada,M,,Current,00:00.,1,Bancario Internazionale [it],ON,ML Carretera Marco-W - Amarillo [es],Corner Bicycle Supply,00:00.,1,1 (11) 500 555-,CA,,,,,291,Pak,Components,Q2,668991357,,800000,,973.3581,6,77.8686,4,,,,900.3564,96,,jae0@adventure-,1,10,0,Road,Canada,,49,180-555-0114,38:29.,SO48307-7,291,,dimreseller_businesstype_ja,,,,SO48307,productname_zh_tw,,Canada,International Bank [de],dimreseller_bankname_zh_cn,7DE5-4D74-A7,,Friday,,2,2,80000,1,57:50.,,,6,North America,155,12:38:29.000Z,23.0769,0,00:00.,596439000,,S,2005,00:00.,1,,,ML Strada Telaio-W - Giallo [it],2,Sales,ML Road Frame-W - Yellow,1,11,LB ,M4B 1V7,PO17545123793,,00:00.,International Bank,96,B,,AW00000155,14,00:00.
Tete A Mensa-Annan,Tete,TRUE,5,9.9018,100,5,FW-R820,2008,Ellensburg,1,May,2000,2,Wheels,M,17,2007,1,396.072,15:27:57.000Z,146.5466,Value Added Reseller,11,7/1/2006 0:00,Mail-Order uscita,3,47.009726 -120.52364,415,6/30/2007 0:00,17,198.036,121,2007,Sales Representative,,343,,Washington,409 S. Main Ste. 25,United States,M,R ,Current,00:00.,2,Riserva di Sicurezza [it],WA,,Mail-Order Outlet,00:00.,1,615-555-0153,US,Kittitas County,330.06,375,US,293,Mensa-Annan,Components,Q4,90836195,98926,800000,,396.072,1,31.6858,2,500,1,5799889,293.0932,615,Strong wheel with double-walled rim.,tete0@adventure,1,1,0,Road,United States,,18,490-555-0132,25:37.,SO50297-11,293,Ellensburg,dimreseller_businesstype_ja,,H ,198.036,SO50297,productname_zh_tw,,Northwest,Reserve Sicherheit [de],dimreseller_bankname_zh_cn,5199-40AD-90,146.5466,Tuesday,1,2,2,80000,1,27:57.,HL Road Front Wheel,650,1,North America,343,18:25:37.000Z,23.0769,0,00:00.,615460000,,S,2006,00:00.,1,Washington,5815135,,1,Sales,HL Road Front Wheel,1,17,G  ,98926,PO4727113542,NA,00:00.,Reserve Security,615,A,Black,AW00000343,17,00:00.
Jillian  Carson,Jillian,,6,16.1999,100,6,BK-M47B-40,2008,Novi,3,June,1976,1,Mountain Bikes,F,1,2007,1,647.994,22:10:05.000Z,598.4354,Value Added Reseller,32,,"Fabrikam Inc., West",6,42.462734 -83.45865,365,,1,647.994,152,2007,Sales Representative,CM ,197,"I was trying to purchase HL Road Handlebars, and Linda (our rep) was very helpful. She had a recommendation for handlebar tape, and explained what the venting holes were for. Excellent service!",Michigan,46460 West Oaks Drive,United States,S,,Current,00:00.,2,Bancario Internazionale [it],MI,,"Fabrikam Inc., West",00:00.,1,517-555-0117,US,Oakland County,,,US,283,Carson,Bikes,Q4,615389812,48376,800000,,647.994,3,51.8395,2,,,5004223,598.4354,466,,jillian0@advent,1,3,0,Mountain,United States,,23,224-555-0126,29:02.,SO50682-32,283,Novi,dimreseller_businesstype_ja,,,,SO50682,productname_zh_tw,,Central,International Bank [de],dimreseller_bankname_zh_cn,1145-4AD1-B8,,Friday,2,1,1,80000,1,10:05.,,,3,North America,197,10:29:02.000Z,23.0769,0,00:00.,562737000,,S,2006,00:00.,1,Michigan,5001836,,1,Sales,Mountain-300 Black,1,12,LB ,48375,PO12354142084,,00:00.,International Bank,466,,,AW00000197,1,00:00.
Amy E Alberts,Amy,,5,186.4278,98,8,BK-M68S-38,2007,Berks,10,August,1992,6,Mountain Bikes,F,1,2007,1,7457.1108,07:41:24.000Z,1117.8559,Warehouse,16,,Downhill biciclette Specialisti,3,,352,,1,1242.8518,213,2006,European Sales Manager,CM ,484,,England,725a The Arches,United Kingdom,M,,Current,00:00.,1,Bancario Internazionale [it],ENG,,Downhill Bicycle Specialists,00:00.,1,775-555-0164,GB,,,,,290,Alberts,Bikes,Q1,982310417,,3000000,,7457.1108,10,596.5689,3,,,,6707.1354,229,,amy0@adventure-,1,11,0,Mountain,United Kingdom,,31,1 (11) 500 555-0199,50:30.,SO47004-16,290,,dimreseller_businesstype_ja,,,,SO47004,productname_zh_tw,,United Kingdom,International Bank [de],dimreseller_bankname_zh_cn,BB9D-49AE-A9,,Tuesday,,1,1,300000,1,41:24.,,,10,Europe,484,03:50:30.000Z,48.101,0,00:00.,590946000,,Q,2006,00:00.,1,,,,2,Sales,Mountain-200 Silver,1,81,LB ,SL4 1RH,PO928175019,,00:00.,International Bank,229,E,,AW00000484,1,00:00.
Tsvi Michael Reiter,Tsvi,TRUE,5,8.2616,100,8,RW-R762,2008,La Vergne,5,August,1987,2,Wheels,M,17,2007,1,330.462,12:20:14.000Z,122.2709,Warehouse,18,7/1/2006 0:00,Ogni Bike Shop,3,36.01333 -86.56268,423,6/30/2007 0:00,17,165.231,213,2006,Sales Representative,,45,,Tennessee,2550 High Street,United States,M,R ,Current,00:00.,1,Primaria Internazionale [it],TN,,Every Bike Shop,00:00.,1,664-555-0112,US,Rutherford County,275.385,375,US,285,Reiter,Components,Q1,716374314,37086,3000000,,330.462,5,26.437,3,500,1,4654962,244.5418,565,Aluminum alloy rim with stainless steel spokes; built for speed.,tsvi0@adventure,1,5,0,Road,United States,,31,333-555-0113,44:59.,SO47053-18,285,La Vergne,dimreseller_businesstype_ja,,M ,165.231,SO47053,productname_zh_tw,,Southeast,Prim?r International [de],dimreseller_bankname_zh_cn,686D-414B-82,122.2709,Tuesday,,2,2,300000,1,20:14.,ML Road Rear Wheel,1000,5,North America,45,20:44:59.000Z,23.0769,0,00:00.,635085000,,Q,2005,00:00.,1,Tennessee,4662168,,2,Sales,ML Road Rear Wheel,1,80,G  ,37086,PO7598127510,NA,00:00.,Primary International,565,Michael,Black,AW00000045,17,00:00.
Michael G Blythe,Michael,,5,6.7491,100,8,TG-W091-S,2008,Saginaw,3,August,1991,6,Tights,M,24,2007,1,269.964,08:01:35.000Z,30.9334,Specialty Bike Shop,17,,Grand Sport Boutique,3,43.413975 -83.91427,456,,24,44.994,213,2006,Sales Representative,,377,,Michigan,99800 Tittabawasee Rd.,United States,S,,Current,00:00.,1,Custode Della Banca [it],MI,,Grand Sport Boutique,00:00.,1,257-555-0154,US,Saginaw County,,,US,281,Blythe,Clothing,Q1,841560125,48601,1500000,,269.964,3,21.5971,3,,,5007996,185.6004,470,,michael9@advent,1,2,0,Road,United States,,31,941-555-0155,50:33.,SO46968-17,281,Buena Vista,dimreseller_businesstype_ja,,,,SO46968,productname_zh_tw,,Central,Vormund Bank [de],dimreseller_bankname_zh_cn,280B-4350-80,,Tuesday,2,3,3,150000,1,01:35.,,,3,North America,377,23:50:33.000Z,23.0769,0,00:00.,661738000,,A,2006,00:00.,1,Michigan,5001836,,2,Sales,Women's Tights,1,46,,48601,PO15254133264,,00:00.,Guardian Bank,470,G,,AW00000377,24,00:00.
Shu K Ito,Shu,,5,22.2705,100,2,BK-T18U-54,2008,El Segundo,4,February,1975,2,Touring Bikes,M,3,2008,1,890.82,22:24:05.000Z,461.4448,Value Added Reseller,3,,Bike Store Ottava,6,33.921313 -118.40843,565,,3,445.41,32,2008,Sales Representative,CM ,131,,California,2500 N Serene Blvd,United States,M,,Current,00:00.,2,Primaria Banca e Riserva [it],CA,,Eighth Bike Store,00:00.,1,330-555-0120,US,Los Angeles County,,,US,287,Ito,Bikes,Q3,139397894,90245,800000,,890.82,4,71.2656,1,,,5368381,922.8896,317,,shu0@adventure-,1,4,0,Touring,United States,19th Floor,6,785-555-0163,39:52.,SO63240-3,287,El Segundo,dimreseller_businesstype_ja,,,,SO63240,productname_zh_tw,,Southwest,Hausbank und Zur??ckhaltung [de],dimreseller_bankname_zh_cn,AC0A-4F08-91,,Friday,2,1,1,80000,1,24:05.,,,4,North America,131,04:39:52.000Z,23.0769,0,00:00.,627347000,,S,2007,00:00.,1,California,5332921,,1,Sales,Touring-3000 Blue,1,19,LB ,90245,PO4611157476,,00:00.,Primary Bank & Reserve,317,K,,AW00000131,3,00:00.
Tsvi Michael Reiter,Tsvi,,5,5.3991,100,5,SH-M897-S,2007,Gulfport,5,May,1999,6,Shorts,M,22,2007,1,215.964,03:08:02.000Z,24.7459,Warehouse,6,,eCommerce Bikes,3,30.380597 -89.09626,445,,22,35.994,121,2007,Sales Representative,,566,,Mississippi,Gulfport Factory Shops,United States,M,,Current,00:00.,2,Custode Della Banca [it],MS,,eCommerce Bikes,00:00.,1,664-555-0112,US,Harrison County,,,US,285,Reiter,Clothing,Q4,716374314,39501,3000000,,215.964,5,17.2771,2,,,4429197,148.4754,489,,tsvi0@adventure,1,5,0,Mountain,United States,,18,695-555-0111,39:07.,SO50306-6,285,Gulfport,dimreseller_businesstype_ja,,,,SO50306,productname_zh_tw,,Southeast,Vormund Bank [de],dimreseller_bankname_zh_cn,D376-4A40-86,,Tuesday,,3,3,300000,1,08:02.,,,5,North America,566,04:39:07.000Z,23.0769,0,00:00.,610265000,,Q,2005,00:00.,1,Mississippi,4436296,,1,Sales,Men's Sports Shorts,1,58,,39501,PO5858194676,,00:00.,Guardian Bank,489,Michael,,AW00000566,22,00:00.
Ranjit R Varkey Chudukatil,Ranjit,,6,6.7491,100,6,TG-W091-L,2008,Boulogne-sur-Mer,7,June,1983,6,Tights,M,24,2007,1,269.964,11:41:05.000Z,30.9334,Specialty Bike Shop,4,,Comunit?? Grandi magazzini,6,,458,,24,44.994,152,2007,Sales Representative,,571,,Pas de Calais,"3639, rue des Grands Champs",France,S,,Current,00:00.,2,Uniti Sicurezza [it],62,,Community Department Stores,00:00.,1,1 (11) 500 555-,FR,,,,,292,Varkey Chudukatil,Clothing,Q4,134219713,,1500000,,269.964,7,21.5971,2,,,,185.6004,191,,ranjit0@adventu,1,7,0,Mountain,France,,23,1 (11) 500 555-0187,49:56.,SO50697-4,292,,dimreseller_businesstype_ja,,,,SO50697,productname_zh_tw,,France,Vereint Sicherheit [de],dimreseller_bankname_zh_cn,0391-478C-A1,,Friday,2,3,3,150000,1,41:05.,,,7,Europe,571,05:49:56.000Z,23.0769,0,00:00.,670131000,,A,2006,00:00.,1,,,,1,Sales,Women's Tights,1,34,,62200,PO1450193930,,00:00.,United Security,191,R,,AW00000571,24,00:00.
Linda C Mitchell,Linda,,5,2.2496,100,11,LJ-0192-M,2008,Reno,1,November,1999,3,Jerseys,F,21,2008,1,89.982,01:23:31.000Z,38.4923,Warehouse,8,,Prodotti Finitura permanenti,5,39.499862 -119.77497,231,,21,29.994,305,2007,Sales Representative,,650,"When I called to place a new order, your sales rep Jillian Carson was kind of unpleasant. It seemed like something was really bothering her. She was helpful, but again seemed to want to end the call as soon as possible. The products I ordered were fine. I really like the Mountain-500 Silver. Very good bike.",Nevada,62500 Neil Road,United States,M,,Current,00:00.,1,Custode Della Banca [it],NV,Largo-Manga Logo Jersey [es],Permanent Finish Products,00:00.,1,883-555-0116,US,Washoe County,,,US,282,Mitchell,Clothing,Q2,191644724,89431,3000000,,89.982,1,7.1986,4,,,5709906,115.4769,511,,linda3@adventur,1,4,0,Mountain,United States,,44,265-555-0143,40:31.,SO57046-8,282,Sparks,dimreseller_businesstype_ja,,,,SO57046,productname_zh_tw,,Northwest,Vormund Bank [de],dimreseller_bankname_zh_cn,52CC-460F-B3,,Thursday,,3,3,300000,1,23:31.,,,1,North America,650,06:40:31.000Z,23.0769,0,00:00.,627420000,,Q,2005,00:00.,1,Nevada,5509151,Manica Lunga Logo Maglietta [it],2,Sales,Long-Sleeve Logo Jersey,1,100,,89502,PO14500161818,,00:00.,Guardian Bank,511,C,,AW00000650,21,00:00.
Linda C Mitchell,Linda,,5,2.884,100,5,LJ-0192-M,2007,Lake Elsinore,4,May,1978,4,Jerseys,F,21,2006,1,115.3616,21:13:55.000Z,31.7244,Value Added Reseller,2,,Affordable Sports Equipment,2,33.675893 -117.34946,229,,21,28.8404,121,2006,Sales Representative,,403,,California,Lake Elisnor Place,United States,M,,Current,00:00.,2,Uniti Sicurezza [it],CA,Largo-Manga Logo Jersey [es],Affordable Sports Equipment,00:00.,1,883-555-0116,US,Riverside County,,,US,282,Mitchell,Clothing,Q4,191644724,92530,300000,,115.3616,4,9.2289,2,,,5387890,126.8976,333,,linda3@adventur,1,4,0,Road,United States,,18,996-555-0196,01:34.,SO46101-2,282,Lake Elsinore,dimreseller_businesstype_ja,,,,SO46101,productname_zh_tw,,Southwest,Vereint Sicherheit [de],dimreseller_bankname_zh_cn,FAFC-4F06-B2,,Monday,2,3,3,30000,1,13:55.,,,4,North America,403,23:01:34.000Z,23.0769,0,00:00.,611259000,,S,2005,00:00.,1,California,5332921,Manica Lunga Logo Maglietta [it],1,Sales,Long-Sleeve Logo Jersey,1,4,,92530,PO7656119075,,00:00.,United Security,333,C,,AW00000403,21,00:00.
Tsvi Michael Reiter,Tsvi,,6,122.9459,100,3,BK-M68B-46,2007,Memphis,5,March,1996,4,Mountain Bikes,M,1,2007,1,4917.8356,18:37:20.000Z,1105.81,Value Added Reseller,6,,Next-Door Bike Store,5,35.146131 -90.0534,362,,1,1229.4589,60,2007,Sales Representative,CM ,585,,Tennessee,Mall Of Memphis,United States,M,,Current,00:00.,2,Uniti Sicurezza [it],TN,Monta?a-200 Negro [es],Next-Door Bike Store,00:00.,1,664-555-0112,US,Shelby County,,,US,285,Reiter,Bikes,Q3,716374314,37544,800000,,4917.8356,5,393.4268,1,,,4657046,4423.24,567,,tsvi0@adventure,1,5,0,Mountain,United States,,9,398-555-0132,29:01.,SO49495-6,285,Memphis,dimreseller_businesstype_ja,,,,SO49495,productname_zh_tw,,Southeast,Vereint Sicherheit [de],dimreseller_bankname_zh_cn,A868-43CF-A4,,Thursday,1,1,1,80000,1,37:20.,,,5,North America,585,07:29:01.000Z,23.0769,0,00:00.,651101000,,S,2005,00:00.,1,Tennessee,4662168,Montagna-300 Nero [it],1,Sales,Mountain-200 Black,1,13,LB ,38103,PO9570115481,,00:00.,United Security,567,Michael,,AW00000585,1,00:00.
Pamela O Ansman-Wolfe,Pamela,,5,143.0442,100,8,BK-T79U-60,2008,Spokane,1,August,1986,4,Touring Bikes,F,3,2008,1,5721.768,06:30:38.000Z,1481.9379,Warehouse,18,,Cicli in circolazione,4,47.656692 -117.37899,576,,3,1430.442,213,2007,Sales Representative,CM ,605,,Washington,North 93270 Newport Highway,United States,S,,Current,00:00.,1,Primaria Internazionale [it],WA,,Outstanding Cycles,00:00.,1,340-555-0193,US,Spokane County,,,US,286,Ansman-Wolfe,Bikes,Q1,61161660,99254,3000000,,5721.768,1,457.7414,3,,,5811704,5927.7516,641,,pamela0@adventu,1,1,0,Touring,United States,,31,695-555-0161,43:30.,SO51789-18,286,Spokane,dimreseller_businesstype_ja,,,,SO51789,productname_zh_tw,,Northwest,Prim?r International [de],dimreseller_bankname_zh_cn,A5AF-4504-83,,Wednesday,1,1,1,300000,1,30:38.,,,1,North America,605,05:43:30.000Z,23.0769,0,00:00.,601972000,,Q,2007,00:00.,1,Washington,5815135,,2,Sales,Touring-1000 Blue,1,85,LB ,99202,PO18618169495,,00:00.,Primary International,641,O,,AW00000605,3,00:00.
Jae B Pak,Jae,,5,5.3994,19,5,SB-M891-M,2008,Ville De'anjou,6,May,1988,4,Bib-Shorts,F,18,2007,1,215.976,11:23:39.000Z,37.1209,Value Added Reseller,30,,Forniture generali,3,,460,,18,53.994,121,2007,Sales Representative,,479,,Quebec,9693 Louis H Lafontaine,Canada,M,,Current,00:00.,2,Primaria Internazionale [it],QC,Mitad-Dedo Guantes [es],General Supplies,00:00.,1,1 (11) 500 555-,CA,,,,,291,Pak,Clothing,Q4,668991357,,800000,,215.976,6,17.2781,2,,,,148.4836,113,,jae0@adventure-,1,10,0,Road,Canada,,18,765-555-0141,31:05.,SO50265-30,291,,dimreseller_businesstype_ja,,,,SO50265,productname_zh_tw,,Canada,Prim?r International [de],dimreseller_bankname_zh_cn,6C30-435D-9D,,Tuesday,1,3,3,80000,1,23:39.,,,6,North America,479,16:31:05.000Z,23.0769,0,00:00.,623246000,,S,2006,00:00.,1,,,Met??-Dito Guanti [it],1,Sales,Men's Bib-Shorts,1,12,,J1G 2R3,PO18705169014,,00:00.,Primary International,113,B,,AW00000479,18,00:00.
